Type,Results
x_noisy,"[np.float64(-3.1093720683282084), np.float64(-3.108412463110737), np.float64(-3.0984743259709537), np.float64(-3.1001517588756258), np.float64(-3.0884371703265474), np.float64(-3.09457338601049), np.float64(-3.0928396038747383), np.float64(-3.0885453633673166), np.float64(-3.0883532173864867), np.float64(-3.087153338432927), np.float64(-3.0888611511650614), np.float64(-3.0916865150685826), np.float64(-3.093770323694889), np.float64(-3.0882072705568655), np.float64(-3.095034390396758), np.float64(-3.0961374107422217), np.float64(-3.0998233850748558), np.float64(-3.103226880535197)]"
x_exact,"[np.float64(-3.5233642485662866), np.float64(-3.52425634562847), np.float64(-3.5251757185182084), np.float64(-3.5274640320539774), np.float64(-3.509107262458586), np.float64(-3.516277194412413), np.float64(-3.4882770973479236), np.float64(-3.4846004608458636), np.float64(-3.487179100965579), np.float64(-3.4282864188656936), np.float64(-3.4251160772305167), np.float64(-3.4193880812113315), np.float64(-3.3992867660406523), np.float64(-3.366541102115513), np.float64(-3.319553201581855), np.float64(-3.27674235819143), np.float64(-3.2484699115769167), np.float64(-3.210716606043196)]"
x_noisy,"[np.float64(-3.1093719648741986), np.float64(-3.1041590696251076), np.float64(-3.1002238745876762), np.float64(-3.0979185736038457), np.float64(-3.086494980137834), np.float64(-3.0879000993018884), np.float64(-3.070950642149591), np.float64(-3.0681421976136645), np.float64(-3.068694185152074), np.float64(-3.0418128963645406), np.float64(-3.043365338598692), np.float64(-3.0375791280280944), np.float64(-3.029956873144939), np.float64(-3.0161861772264005), np.float64(-2.992044519884099), np.float64(-2.976539011257251), np.float64(-2.9647986418703804), np.float64(-2.9498552229188104)]"
x_exact,"[np.float64(-3.5233642485662866), np.float64(-3.525369497378232), np.float64(-3.525166002806944), np.float64(-3.5201239548455447), np.float64(-3.5207454271653975), np.float64(-3.52149512760588), np.float64(-3.5140233232386273), np.float64(-3.4813563069541362), np.float64(-3.449652106846846), np.float64(-3.4734664089364413), np.float64(-3.4189741504640865), np.float64(-3.3815155405895654), np.float64(-3.4075882674976783), np.float64(-3.3695146791051553), np.float64(-3.31863013728514), np.float64(-3.2803756530530506), np.float64(-3.2484699115769162), np.float64(-3.2107166060431958)]"
x_noisy,"[np.float64(-3.1093719648741978), np.float64(-3.106154671085189), np.float64(-3.1015473901988804), np.float64(-3.0958770272210105), np.float64(-3.0948880133434806), np.float64(-3.0952934909864833), np.float64(-3.082250315582819), np.float64(-3.0692757353502524), np.float64(-3.0505503739769306), np.float64(-3.0613207628378603), np.float64(-3.0364196969527013), np.float64(-3.0190979525811423), np.float64(-3.03373333475399), np.float64(-3.0129265784738295), np.float64(-2.9939334885512614), np.float64(-2.9791161319367934), np.float64(-2.9647986418703796), np.float64(-2.949855222918811)]"
x_exact,"[np.float64(-3.5233642485662866), np.float64(-3.5253850664259514), np.float64(-3.5249721587668246), np.float64(-3.5178715028403627), np.float64(-3.5263920107194955), np.float64(-3.5109409461041787), np.float64(-3.4970866912792644), np.float64(-3.5001318640241483), np.float64(-3.470654147971081), np.float64(-3.455563226535678), np.float64(-3.422719866705118), np.float64(-3.4050761645268444), np.float64(-3.357039769377581), np.float64(-3.364683645996193), np.float64(-3.30843135667925), np.float64(-3.2830689352128783), np.float64(-3.248469911576917), np.float64(-3.210716606043196)]"
x_noisy,"[np.float64(-3.109371964874198), np.float64(-3.106909045989322), np.float64(-3.104540723450109), np.float64(-3.09107356843966), np.float64(-3.098671995857139), np.float64(-3.086344943131032), np.float64(-3.0756303837943375), np.float64(-3.0754894006512212), np.float64(-3.0607414033500877), np.float64(-3.055359217670531), np.float64(-3.0376182651912558), np.float64(-3.0296094163277645), np.float64(-3.0073230307455834), np.float64(-3.011797972978155), np.float64(-2.990269983756957), np.float64(-2.9770208149401634), np.float64(-2.96479864187038), np.float64(-2.9498552229188104)]"
x_exact,"[np.float64(-3.5233642485662866), np.float64(-3.5245675430071706), np.float64(-3.523936548895759), np.float64(-3.522616866775446), np.float64(-3.5191756021160705), np.float64(-3.509317146680193), np.float64(-3.482297501813447), np.float64(-3.471559133362842), np.float64(-3.472503403764787), np.float64(-3.473856623423241), np.float64(-3.4437840459132887), np.float64(-3.4221172905523662), np.float64(-3.3426501452579362), np.float64(-3.353983986185059), np.float64(-3.337029919035435), np.float64(-3.2883109314010905), np.float64(-3.248469911576917), np.float64(-3.2107166060431958)]"
x_noisy,"[np.float64(-3.1093719648741978), np.float64(-3.1069533767107034), np.float64(-3.1027031334268576), np.float64(-3.096840520433062), np.float64(-3.091190310196178), np.float64(-3.085141259317265), np.float64(-3.070761226897763), np.float64(-3.0655677041997027), np.float64(-3.064920804586259), np.float64(-3.0603745248619987), np.float64(-3.0494165211584745), np.float64(-3.032091081607336), np.float64(-3.0024106556480996), np.float64(-3.005461592292502), np.float64(-3.002038729517734), np.float64(-2.979781008622951), np.float64(-2.9647986418703796), np.float64(-2.949855222918811)]"
x_exact,"[np.float64(-3.5233642485662866), np.float64(-3.5254980596676986), np.float64(-3.521574576782273), np.float64(-3.515420504257062), np.float64(-3.5221900230336183), np.float64(-3.510627294986678), np.float64(-3.4968250853522784), np.float64(-3.4991027943030337), np.float64(-3.4827121922418196), np.float64(-3.464092623370241), np.float64(-3.4409587623931066), np.float64(-3.4201519585756666), np.float64(-3.3732852920738385), np.float64(-3.331690764586144), np.float64(-3.325883698161972), np.float64(-3.273003196052413), np.float64(-3.2484699115769167), np.float64(-3.210716606043196)]"
x_noisy,"[np.float64(-3.1093719648741986), np.float64(-3.1067626338151757), np.float64(-3.104028726819861), np.float64(-3.096139260328604), np.float64(-3.093556227238591), np.float64(-3.0833746482877604), np.float64(-3.072920376605053), np.float64(-3.0745953131685173), np.float64(-3.067975787709643), np.float64(-3.0584559954023973), np.float64(-3.0466041974583518), np.float64(-3.0361931264582367), np.float64(-3.0193090050855473), np.float64(-2.995373653062222), np.float64(-2.9961863597362624), np.float64(-2.9755632551117164), np.float64(-2.9647986418703804), np.float64(-2.9498552229188104)]"
x_exact,"[np.float64(-3.5233642485662866), np.float64(-3.525172934032496), np.float64(-3.5249013397827516), np.float64(-3.517843857922926), np.float64(-3.5183025191819457), np.float64(-3.5127744176388633), np.float64(-3.4975231314524193), np.float64(-3.4779756934224135), np.float64(-3.4740963113547125), np.float64(-3.455247911398944), np.float64(-3.4542593917520747), np.float64(-3.4029959935825578), np.float64(-3.398806945157157), np.float64(-3.363365594974686), np.float64(-3.3135226665641104), np.float64(-3.2766501541156483), np.float64(-3.2484699115769167), np.float64(-3.2107166060431958)]"
x_noisy,"[np.float64(-3.1093719648741978), np.float64(-3.1068550310951584), np.float64(-3.1043397558858197), np.float64(-3.091529133586724), np.float64(-3.0903138817547107), np.float64(-3.085808219069158), np.float64(-3.075894127526162), np.float64(-3.068547892635101), np.float64(-3.0626619560951274), np.float64(-3.0526881553961602), np.float64(-3.0481784420596982), np.float64(-3.0290261390142215), np.float64(-3.0273278318607733), np.float64(-3.0080053875952766), np.float64(-2.9927574704219775), np.float64(-2.9775746450522163), np.float64(-2.964798641870379), np.float64(-2.949855222918811)]"
x_exact,"[np.float64(-3.5233642485662866), np.float64(-3.5204582743527886), np.float64(-3.5272177043778203), np.float64(-3.5269798426627483), np.float64(-3.5060426611837934), np.float64(-3.5179428277005065), np.float64(-3.490385278921281), np.float64(-3.477736630356143), np.float64(-3.4796550859327), np.float64(-3.4577028389610396), np.float64(-3.438296100659264), np.float64(-3.3879364588431065), np.float64(-3.390804008008643), np.float64(-3.3417264298088365), np.float64(-3.3273261106284036), np.float64(-3.299955295209952), np.float64(-3.2484699115769167), np.float64(-3.210716606043196)]"
x_noisy,"[np.float64(-3.1093719648741986), np.float64(-3.103393785973434), np.float64(-3.1018404424509614), np.float64(-3.0974637547840356), np.float64(-3.0858569150762962), np.float64(-3.0937533359345317), np.float64(-3.0751956775473617), np.float64(-3.067921306296977), np.float64(-3.0692689666195334), np.float64(-3.0549769732979994), np.float64(-3.049016702408967), np.float64(-3.0234426423101377), np.float64(-3.026320752214196), np.float64(-3.0026446172885928), np.float64(-2.995209823522493), np.float64(-2.9862693481794076), np.float64(-2.96479864187038), np.float64(-2.9498552229188104)]"
x_exact,"[np.float64(-3.523364248566283), np.float64(-3.5236082006000298), np.float64(-3.5287188038275423), np.float64(-3.525472324910202), np.float64(-3.5306586345035695), np.float64(-3.535046037523704), np.float64(-3.5393393086021434), np.float64(-3.541847271282916), np.float64(-3.549835535719535), np.float64(-3.5532313589067157), np.float64(-3.5712754008304457), np.float64(-3.588640608158023), np.float64(-3.616756344118803), np.float64(-3.6272516981339233), np.float64(-3.647265388666189), np.float64(-3.674198646444782), np.float64(-3.688251107562892), np.float64(-3.712209125939831)]"
x_noisy,"[np.float64(-3.109372068328208), np.float64(-3.1049679051502297), np.float64(-3.104869774623459), np.float64(-3.100779295804914), np.float64(-3.099052088890021), np.float64(-3.0929926989962806), np.float64(-3.092565790066747), np.float64(-3.0866410164941245), np.float64(-3.0884874056062634), np.float64(-3.0912167504342647), np.float64(-3.089391947917059), np.float64(-3.0892852010823146), np.float64(-3.0899336961182966), np.float64(-3.089813260862597), np.float64(-3.0935546670861855), np.float64(-3.0991998052018928), np.float64(-3.099823385074856), np.float64(-3.103226880535197)]"
