Type,Results
XGB,"[np.float32(-3.5478945), np.float32(-3.5500295), np.float32(-3.556152), np.float32(-3.556236), np.float32(-3.5562468), np.float32(-3.560961)]"
XGB,"[np.float32(-3.5505884), np.float32(-3.5533864), np.float32(-3.5559938), np.float32(-3.5559704), np.float32(-3.5587327), np.float32(-3.56956)]"
XGB,"[np.float32(-3.5502977), np.float32(-3.553969), np.float32(-3.5586238), np.float32(-3.5597343), np.float32(-3.5607169), np.float32(-3.5653698)]"
XGB,"[np.float32(-3.552259), np.float32(-3.5560098), np.float32(-3.555906), np.float32(-3.5572882), np.float32(-3.5587456), np.float32(-3.5689995)]"
XGB,"[np.float32(-3.548135), np.float32(-3.5558069), np.float32(-3.5559037), np.float32(-3.5573654), np.float32(-3.5601215), np.float32(-3.5612435)]"
XGB,"[np.float32(-3.5529494), np.float32(-3.5557148), np.float32(-3.5568647), np.float32(-3.55981), np.float32(-3.5610588), np.float32(-3.5694585)]"
XGB,"[np.float32(-3.5492048), np.float32(-3.555798), np.float32(-3.556174), np.float32(-3.559737), np.float32(-3.5598946), np.float32(-3.5698843)]"
XGB,"[np.float32(-3.5479112), np.float32(-3.5515351), np.float32(-3.554973), np.float32(-3.5590103), np.float32(-3.5596423), np.float32(-3.561079)]"
XGB,"[np.float32(-3.5502853), np.float32(-3.550729), np.float32(-3.556086), np.float32(-3.5562086), np.float32(-3.5600588), np.float32(-3.5644176)]"
XGB,"[np.float32(-3.5478654), np.float32(-3.5507889), np.float32(-3.5558896), np.float32(-3.55728), np.float32(-3.5586333), np.float32(-3.5593982)]"
MLP,"[np.float64(-4.1787498003080055), np.float64(-3.8153827788931647), np.float64(-3.8258640207469923), np.float64(-3.7466686879849926), np.float64(-3.6994186653041883), np.float64(-3.6367985201502746)]"
MLP,"[np.float64(-4.221097572684812), np.float64(-3.839061158109144), np.float64(-3.8217988270740415), np.float64(-3.7326241031137632), np.float64(-3.717413548274906), np.float64(-3.641093838441385)]"
MLP,"[np.float64(-4.176698588162392), np.float64(-4.12798800679949), np.float64(-3.9244426689116394), np.float64(-3.866717875986464), np.float64(-3.703055665543043), np.float64(-3.6321093801196933)]"
MLP,"[np.float64(-4.269023054260253), np.float64(-4.221375555725109), np.float64(-3.833447367828586), np.float64(-3.890075069384017), np.float64(-3.778397557256842), np.float64(-3.6398104271362204)]"
MLP,"[np.float64(-4.192236217493988), np.float64(-4.1910665479667335), np.float64(-3.732045608282573), np.float64(-3.761614096684372), np.float64(-3.6767282237246843), np.float64(-3.626888883828705)]"
MLP,"[np.float64(-4.192228728675157), np.float64(-4.11585099615979), np.float64(-3.904417807374195), np.float64(-3.887845366926627), np.float64(-3.733052878707121), np.float64(-3.6422075041778412)]"
MLP,"[np.float64(-4.189773631573731), np.float64(-3.790797661397119), np.float64(-3.823830392224509), np.float64(-3.805888510726682), np.float64(-3.7201333278574085), np.float64(-3.630227144287356)]"
